Sec_Production_Company,budget,Profit,popularity
Icon Entertainment International,40000000.0,80175290.0,41.570046999999995
Illusion Entertainment Group,25000000.0,-9843800.0,4.068107
Image Entertainment,75000000.0,77930623.0,36.743324
Imagenation Abu Dhabi FZ,57000000.0,92217355.0,48.622278
Imagine Entertainment,0.0,0.0,7.321181
InVenture Entertainment,60000000.0,13174566.0,18.380176000000002
Independence Day Productions,1800000.0,-1800000.0,1.9594049999999998
Industrial Entertainment,3500000.0,-3500000.0,3.158056
Industry Entertainment,60000000.0,-3640020.0,15.205371
Ingenious Media,101500000.0,154649152.0,20.424931
Initial Entertainment Group,45000000.0,-2512610.0,14.813057
Initial Groupe,26000000.0,10800000.0,7.9644509999999995
Intermedia Films,71666666.66666667,76412490.0,27.942269666666665
International Production Company,0.0,0.0,25.450534
Intrepid Pictures,25000000.0,-5462495.5,18.335044500000002
Irish Dreamtime,28000000.0,2016165.0,6.201404
Irish Film Board,0.0,0.0,3.810943
Iron Fists,15000000.0,608545.0,17.672021
Isle of Man Film,8000000.0,-4546957.0,10.791953999999999
Jackie & JJ Production,65000000.0,56545703.0,9.568883999999999
Jerry Bruckheimer Films,255000000.0,-165710090.0,49.046956
Jerry Weintraub Productions,37500000.0,-30216058.5,8.454328
Judgement Pictures,6800000.0,-6800000.0,4.665309
Kalima Productions GmbH & Co. KG,60000000.0,105333180.0,37.537093
Kennedy Miller Productions,81152761.5,126391518.0,235.430301
"Kennedy/Marshall Company, The",55000000.0,128028162.5,48.61633200000001
Kim and Jim Productions,2000000.0,12400000.0,16.668854
Kings Road Entertainment,0.0,882290.0,6.41678
Kouf/Bigelow Productions,75000000.0,149012234.0,45.154631
Krane Entertainment,50000000.0,-7207439.0,19.226763000000002
Krisjair,23000000.0,-15565274.0,12.869436
LHF Film,60000000.0,145754447.0,61.849520999999996
Lakeshore Entertainment,37000000.0,10617521.0,38.9735595
Largo Entertainment,29000000.0,-23850000.0,13.531931499999999
Laura Ziskin Productions,207500000.0,560491099.0,62.507931
Laurence Mark Productions,109000000.0,69626119.0,51.4718905
Legendary Pictures,107500000.0,290914546.0,90.11899600000001
Les Films Ariane,5800000.0,1000000.0,4.49029
Lightstorm Entertainment,115000000.0,263882411.0,38.729418
Likely Story,0.0,5802422.0,12.708963
Lions Gate Films,6500000.0,6133747.0,8.526635
LionsGate,25000000.0,-10890716.0,16.238961
Lionsgate,54111111.11111111,83021829.0,38.23222666666666
Live Entertainment,1500000.0,-1081039.0,5.817519
Living Films,5000000.0,49418872.0,38.006982
Lone Wolf McQuade Associates,5000000.0,7232628.0,8.452666
Lorimar Motion Pictures,7000000.0,13256975.0,6.872783999999999
M6 Films,48000000.0,133976769.0,46.4292585
MDP Worldwide,20000000.0,-6473092.5,2.5158485
MHF Zweite Academy Film,20500000.0,-10410627.0,17.112498000000002
MTV Films,6000000.0,24570515.0,7.0146765
